ID, Elapsed, Walltime
005465,33.87, 264 seconds 0.07 hours
005405,33.85, 264 seconds 0.07 hours
004312,33.94, 263 seconds 0.07 hours
000704,33.52, 265 seconds 0.07 hours
002172,34.01, 263 seconds 0.07 hours
002841,34.12, 262 seconds 0.07 hours
002214,33.78, 264 seconds 0.07 hours
002513,33.99, 263 seconds 0.07 hours
001610,34.08, 262 seconds 0.07 hours
001136,33.52, 267 seconds 0.07 hours
001536,33.94, 263 seconds 0.07 hours
001219,33.90, 263 seconds 0.07 hours
002866,33.92, 264 seconds 0.07 hours
002071,33.43, 268 seconds 0.07 hours
000703,34.02, 264 seconds 0.07 hours
002171,33.67, 266 seconds 0.07 hours
000990,33.46, 268 seconds 0.07 hours
000435,34.07, 263 seconds 0.07 hours
003410,33.94, 263 seconds 0.07 hours
002035,34.08, 262 seconds 0.07 hours
002400,33.54, 266 seconds 0.07 hours
002648,33.99, 263 seconds 0.07 hours
003343,34.05, 263 seconds 0.07 hours
001231,33.49, 266 seconds 0.07 hours
001120,33.56, 265 seconds 0.07 hours
002289,33.93, 263 seconds 0.07 hours
001842,34.08, 262 seconds 0.07 hours
002352,33.67, 265 seconds 0.07 hours
000638,33.56, 268 seconds 0.07 hours
001520,33.96, 263 seconds 0.07 hours
005152,33.86, 265 seconds 0.07 hours
005805,33.86, 264 seconds 0.07 hours
001246,33.68, 266 seconds 0.07 hours
003177,34.08, 263 seconds 0.07 hours
001765,33.94, 264 seconds 0.07 hours
001274,33.51, 267 seconds 0.07 hours
001308,33.97, 263 seconds 0.07 hours
001972,33.68, 265 seconds 0.07 hours
000224,33.79, 264 seconds 0.07 hours
003068,33.54, 266 seconds 0.07 hours
004074,33.90, 263 seconds 0.07 hours
002684,34.01, 262 seconds 0.07 hours
002787,33.62, 266 seconds 0.07 hours
003500,34.07, 263 seconds 0.07 hours
001897,33.45, 267 seconds 0.07 hours
003869,33.99, 263 seconds 0.07 hours
003779,33.99, 263 seconds 0.07 hours
003662,33.46, 267 seconds 0.07 hours
005659,33.68, 265 seconds 0.07 hours
003378,33.88, 263 seconds 0.07 hours
005295,33.95, 263 seconds 0.07 hours
002808,33.73, 265 seconds 0.07 hours
004371,33.87, 264 seconds 0.07 hours
001992,33.53, 267 seconds 0.07 hours
003141,33.44, 268 seconds 0.07 hours
003236,33.86, 263 seconds 0.07 hours
000652,33.38, 268 seconds 0.07 hours
001957,34.12, 263 seconds 0.07 hours
003009,33.96, 264 seconds 0.07 hours
002652,33.60, 266 seconds 0.07 hours
005171,33.84, 263 seconds 0.07 hours
004851,33.83, 265 seconds 0.07 hours
003757,33.93, 264 seconds 0.07 hours
005868,34.02, 262 seconds 0.07 hours
005366,33.55, 267 seconds 0.07 hours
005621,34.02, 262 seconds 0.07 hours
001927,33.85, 265 seconds 0.07 hours
002037,33.71, 266 seconds 0.07 hours
003131,34.00, 263 seconds 0.07 hours
002364,33.93, 264 seconds 0.07 hours
001233,33.97, 264 seconds 0.07 hours
002606,33.55, 267 seconds 0.07 hours
004999,33.87, 264 seconds 0.07 hours
004079,33.87, 263 seconds 0.07 hours
002696,33.50, 266 seconds 0.07 hours
004891,34.05, 262 seconds 0.07 hours
003799,34.13, 261 seconds 0.07 hours
003071,33.91, 263 seconds 0.07 hours
003462,34.03, 263 seconds 0.07 hours
001524,33.70, 265 seconds 0.07 hours
000985,33.44, 268 seconds 0.07 hours
000153,34.00, 263 seconds 0.07 hours
000559,33.93, 264 seconds 0.07 hours
001892,34.05, 262 seconds 0.07 hours
003208,33.90, 265 seconds 0.07 hours
002009,33.78, 266 seconds 0.07 hours
000492,33.74, 266 seconds 0.07 hours
000317,33.85, 265 seconds 0.07 hours
002954,33.90, 265 seconds 0.07 hours
